Store Code,POD code,Bills,Amount,Ave Bill
KG,C-05,2455,1538089,626.51
NN,E-05,217,135954,626.52
HG,D-02,253,158535,626.62
EH,C-05,27,16921,626.7
DS,E-04,585,366676,626.8
WT,J-07,171,107190,626.84
LT,E-07,180,112848,626.93
YJ,F-05,587,368018,626.95
SM,D-05,60,37625,627.08
NJ,I-04,221,138604,627.17
KS,E-10,66,41410,627.42
TF,X-98,457,286748,627.46
MD,C-03,325,204031,627.79
UG,C-03,41,25740,627.8
PJ,F-08,207,129982,627.93
TL,J-99,2,1256,628
GH,F-03,480,301515,628.16
YH,C-06,376,236245,628.31
RM,J-07,44,27648,628.36
HX,X-98,8,5027,628.38
TN,F-06,440,276507,628.43
YT,J-06,670,421063,628.45
FY,E-04,73,45889,628.62
PW,E-05,449,282279,628.68
XL,X-99,4,2516,629
SM,D-04,45,28319,629.31
PT,G-05,5,3148,629.6
SC,I-06,577,363361,629.74
LJ,D-03,540,340092,629.8
CG,D-02,717,451597,629.84
LS,G-07,390,245676,629.94
TO,X-98,44,27734,630.32
EH,D-03,37,23324,630.38
GS,I-08,277,174616,630.38
GM,Others,586,369415,630.4
DY,F-09,696,438767,630.41
LI,Others,929,585694,630.46
HD,G-07,19,11983,630.68
WF,I-08,121,76313,630.69
LS,G-09,355,223920,630.76
AP,H-03,240,151408,630.87
PT,E-06,353,222727,630.95
DY,C-05,643,405921,631.29
YS,G-09,402,253789,631.32
KC,X-98,11,6947,631.55
FY,E-05,9,5684,631.56
DS,G-03,964,609027,631.77
AH,B-08,4,2528,632
DY,E-05,219,138489,632.37
YW,F-06,19,12016,632.42
YH,B-06,89,56286,632.43
LW,K-03,4,2530,632.5
TR,B-04,413,261249,632.56
AK,G-05,315,199259,632.57
YP,G-04,95,60111,632.75
PM,C-03,67,42404,632.9
PL,F-09,56,35443,632.91
YT,E-06,930,588602,632.91
UG,H-05,1031,652619,633
MJ,X-99,20,12661,633.05
FY,G-05,92,58246,633.11
HL,X-98,75,47485,633.13
PL,E-07,98,62050,633.16
LG,B-06,6,3800,633.33
KW,L-05,77,48768,633.35
PT,C-04,147,93109,633.39
PW,I-05,575,364222,633.43
JR,F-02,647,409968,633.64
BT,I-07,334,211660,633.71
SM,D-03,70,44362,633.74
UC,D-05,372,235753,633.74
YP,E-05,66,41833,633.83
WZ,99,2,1268,634
IC,B-04,19,12046,634
GS,K-04,412,261241,634.08
YK,G-07,883,559916,634.11
YL,E-06,64,40590,634.22
AE,F-06,322,204227,634.25
AK,I-07,520,329809,634.25
DS,G-02,652,413571,634.31
DS,C-10,40,25383,634.58
WT,I-08,39,24750,634.62
DU,X-98,431,273590,634.78
MG,E-04,855,542803,634.86
JR,G-05,46,29208,634.96
ET,H-07,278,176527,634.99
NL,H-08,1,635,635
TO,F-07,20,12701,635.05
DC,C-10,629,399509,635.15
SF,C-04,837,531624,635.15
NS,X-98,143,90856,635.36
LD,H-08,151,95978,635.62
RS,F-03,725,460898,635.72
SC,G-04,1022,649782,635.79
JL,L-08,504,320463,635.84
KW,H-08,501,318560,635.85
PD,H-07,233,148212,636.1
RS,G-09,655,416759,636.27
RL,F-03,156,99287,636.46
DN,H-04,529,336729,636.54
GS,J-04,127,80842,636.55
GS,I-02,199,126715,636.76
RM,J-05,25,15924,636.96
DL,F-06,116,73891,636.99
NS,2,1,637,637
KZ,E-03,63,40131,637
YS,F-05,181,115339,637.23
CR,C-08,366,233281,637.38
CT,I-04,402,256238,637.41
YH,C-07,371,236526,637.54
QD,C-05,195,124330,637.59
NS,E-08,242,154296,637.59
ML,I-08,104,66329,637.78
SZ,H-05,649,413963,637.85
WG,E-04,1211,772449,637.86
QD,D-04,355,226443,637.87
TC,C-28,1,638,638
HZ,D-05,1,638,638
SL,E-08,479,305600,638
PZ,D-05,94,59983,638.12
CU,E-07,534,340757,638.12
NJ,G-08,154,98278,638.17
HU,D-02,3,1915,638.33
XT,E-05,54,34470,638.33
JU,G-09,137,87457,638.37
YW,I-04,2,1277,638.5
PU,E-99,4,2554,638.5
HT,F-07,6,3832,638.67
PJ,E-09,230,146908,638.73
TZ,G-07,499,318728,638.73
WL,I-05,292,186638,639.17
YP,C-03,112,71609,639.37
CM,G-05,257,164341,639.46
DS,D-07,241,154114,639.48
CP,C-04,575,367709,639.49
YS,H-08,2,1279,639.5
YK,G-05,722,461764,639.56
HG,D-01,267,170764,639.57
WQ,H-05,651,416441,639.69
CX,E-03,9,5758,639.78
CP,2,15,9597,639.8
TS,E-09,591,378163,639.87
PC,E-05,496,317398,639.92
ZK,D-04,1103,705952,640.03
FH,G-09,80,51204,640.05
HL,H-04,367,234909,640.08
ZS,F-03,252,161328,640.19
PS,F-08,21,13445,640.24
BT,H-07,561,359215,640.31
NA,M-10,369,236337,640.48
UH,E-09,226,144799,640.7
MO,E-99,28,17940,640.71
TR,B-03,75,48058,640.77
ML,C-09,157,100607,640.81
TA,C-08,12,7691,640.92
YN,E-05,486,311512,640.97
FS,D-08,474,303835,641
DR,H-03,142,91032,641.07
GH,I-03,416,266742,641.21
JN,C-02,91,58366,641.38
TL,D-05,178,114170,641.4
JK,I-09,46,29508,641.48
DS,C-07,748,479931,641.62
YJ,I-02,416,266975,641.77
CU,I-07,1011,648937,641.88
YW,E-05,2,1284,642
LT,F-05,318,204177,642.07
CU,H-09,344,220889,642.12
RZ,J-03,270,173408,642.25
WQ,E-03,783,503116,642.55
XW,L-02,8,5141,642.63
DS,H-01,112,71993,642.79
TN,J-11,50,32152,643.04
LM,G-06,54,34729,643.13
BT,H-09,458,294573,643.17
SL,D-01,124,79756,643.19
LS,J-06,291,187171,643.2
NC,D-08,4,2573,643.25
TN,G-11,308,198159,643.37
FH,G-06,147,94592,643.48
DM,H-03,527,339158,643.56
SU,E-05,722,464691,643.62
KZ,E5,4,2575,643.75
LM,F-06,547,352130,643.75
JW,F-03,715,460281,643.75
WZ,J-04,187,120383,643.76
JA,F-05,683,439698,643.77
DS,F-03,10,6438,643.8
HJ,H-06,91,58603,643.99
MJ,I-05,18,11592,644
MJ,A-02,710,457388,644.21
FD,C-05,721,464515,644.26
DS,C-04,11,7087,644.27
FY,H-04,76,48978,644.45
TP,D-03,84,54140,644.52
WT,J-11,134,86370,644.55
QH,L-04,186,119886,644.55
MA,2,3,1934,644.67
LD,L-04,73,47063,644.7
LG,C-04,339,218620,644.9
SL,E-07,172,110939,644.99
MJ,C-06,1,645,645
CT,K-03,1,645,645
TD,X-99,2,1290,645
TA,G-07,3,1935,645
DO,I-05,386,248980,645.03
RM,I-05,132,85147,645.05
AH,E-07,1207,778712,645.16
MO,X-99,3,1936,645.33
LZ,G-04,501,323356,645.42
UM,C-04,7,4518,645.43
UC,E-08,314,202733,645.65
CL,G-04,617,398518,645.9
PJ,F-09,359,231907,645.98
KC,G-07,940,607268,646.03
JU,E-05,223,144070,646.05
SM,C-05,25,16155,646.2
XW,K-07,18,11632,646.22
JK,I-08,13,8402,646.31
TD,D-01,345,222979,646.32
MJ,F-06,3,1939,646.33
SC,F-05,851,550030,646.33
MS,H-06,505,326435,646.41
AP,B-03,107,69194,646.67
CG,E-04,1343,868536,646.71
RL,H-07,217,140340,646.73
HL,F-03,716,463061,646.73
CQ,I-05,238,153940,646.81
RL,C-09,87,56292,647.03
MH,E-04,409,264636,647.03
MJ,F-09,20,12941,647.05
PD,E-09,147,95116,647.05
CX,E-04,449,290545,647.09
SD,B-05,275,177954,647.11
PK,F-09,439,284088,647.13
PG,F-04,93,60190,647.2
HS,F-07,1065,689299,647.23
UG,C-02,11,7120,647.27
CG,C-02,476,308111,647.29
DT,H-06,493,319136,647.33
CL,D-05,1086,703134,647.45
FH,D-08,231,149581,647.54
JC,F-05,130,84191,647.62
SZ,D-04,496,321227,647.64
CM,X-98,713,461776,647.65
UC,D-06,442,286302,647.74
SL,F-03,109,70607,647.77
YD,G-08,390,252641,647.8
DS,Others,1032,668612,647.88
CX,X-98,311,201525,647.99
SA,D-08,1,648,648
YL,C-09,128,82945,648.01
RL,F-06,496,321545,648.28
LY,D-06,45,29177,648.38
TG,H-09,11,7133,648.45
LJ,E-04,35,22700,648.57
ZK,C-04,357,231580,648.68
LH,D-05,34,22058,648.76
DU,B-03,520,337422,648.89
HF,G-06,448,290843,649.2
HS,F-03,7,4548,649.71
PW,F-07,511,332001,649.71
FA,F-05,44,28594,649.86
CM,D-07,312,202760,649.87
SC,X-98,383,248900,649.87
RM,I-07,145,94233,649.88
ML,E-03,208,135188,649.94
CC,F-03,146,94894,649.96
FG,F-06,453,294430,649.96
OL,G-06,161,104658,650.05
QH,J-04,452,293866,650.15
DZ,C-04,189,122887,650.2
TC,B-02,37,24058,650.22
RJ,F-05,2948,1917051,650.29
CK,C-09,321,208786,650.42
AP,C-07,1150,748069,650.49
LY,C-04,105,68314,650.61
TS,E-05,109,70917,650.61
XS,C-06,410,266752,650.61
JI,E-03,278,180891,650.69
YL,E-09,101,65731,650.8
AH,F-08,313,203732,650.9
GS,L-02,8,5208,651
WF,F-05,173,112628,651.03
SZ,C-05,59,38413,651.07
NZ,D-09,267,173840,651.09
XS,C-10,432,281281,651.11
HT,G-11,41,26697,651.15
CK,F-08,575,374423,651.17
ST,C-08,754,490984,651.17
AP,H-05,63,41030,651.27
DY,D-06,213,138731,651.32
MJ,C-01,1654,1077294,651.33
JS,X-98,231,150461,651.35
CM,F-04,56,36492,651.64
TN,F-05,11,7169,651.73
GH,F-06,876,570927,651.74
NY,F-06,571,372184,651.81
FG,F-03,47,30637,651.85
CU,D-03,187,121914,651.95
SA,F-04,4,2608,652
PF,A-02,328,213864,652.02
WZ,J-05,396,258223,652.08
PH,X-98,109,71081,652.12
BT,I-09,210,136952,652.15
CR,D-08,433,282416,652.23
KG,D-04,1122,731994,652.4
HD,C-09,673,439171,652.56
NJ,G-04,817,533329,652.79
TI,C-09,403,263118,652.9
YJ,E-02,378,246815,652.95
KT,B-02,694,453171,652.98
YL,C10,1,653,653
DT,X-98,135,88184,653.21
DL,X-98,297,194083,653.48
CC,K-02,287,187551,653.49
TO,E-05,179,117002,653.64
AP,D-05,462,302006,653.69
DY,H-06,370,241868,653.7
FA,C-05,157,102632,653.71
YL,D-08,81,52961,653.84
TN,H-10,246,160845,653.84
YP,E-07,137,89579,653.86
TK,D-07,774,506156,653.95
CJ,F-07,1,654,654
YL,X-99,9,5887,654.11
DL,F-05,288,188384,654.11
FS,H-08,30,19627,654.23
ZU,E-05,114,74582,654.23
CG,G-03,37,24213,654.41
RL,E-10,262,171478,654.5
NC,C-06,5,3273,654.6
KS,X-98,138,90356,654.75
DM,I-03,86,56314,654.81
CP,X-98,524,343134,654.84
RS,F-04,460,301234,654.86
SA,I-06,13,8514,654.92
SC,C-07,1178,771564,654.98
KT,D-10,1,655,655
CM,E-07,678,444099,655.01
TF,H-06,132,86462,655.02
JN,D-03,174,113984,655.08
TP,D-04,34,22281,655.32
DK,D-05,683,447652,655.42
FY,J-05,111,72758,655.48
JD,C-05,603,395326,655.6
PD,G-08,186,121943,655.61
FG,G-05,301,197420,655.88
IC,X-98,14,9183,655.93
NS,D08,28,18367,655.96
YH,B-02,882,578594,656
TD,C-03,568,372624,656.03
WZ,J-07,215,141056,656.07
DJ,C-08,670,439587,656.1
YW,B-03,343,225049,656.12
FG,H-09,72,47243,656.15
TH,G-03,867,568914,656.19
SW,I-07,282,185047,656.2
CL,E-04,279,183084,656.22
LY,E-06,11,7219,656.27
DM,C-04,115,75472,656.28
SZ,C-03,981,643836,656.31
JW,D-04,90,59072,656.36
NJ,H-05,246,161466,656.37
DC,B-08,604,396487,656.44
CG,G-06,41,26921,656.61
TS,F-05,147,96523,656.62
DU,D-02,186,122154,656.74
LC,B-08,4,2627,656.75
KC,H-06,1024,672515,656.75
HZ,E-04,154,101162,656.9
CC,H-03,280,183953,656.98
PD,F-05,599,393541,657
CJ,E-04,660,433631,657.02
JN,C-03,98,64408,657.22
RS,D-05,351,230695,657.25
FS,99,3,1972,657.33
DJ,C-06,788,518048,657.42
JN,C-01,349,229508,657.62
JK,E-05,435,286065,657.62
DR,G-04,249,163756,657.65
TF,L-09,117,76946,657.66
SU,F-08,610,401170,657.66
YN,B-05,299,196659,657.72
BK,D-06,39,25652,657.74
SW,F-05,16,10525,657.81
NA,L-08,424,278928,657.85
LI,B-02,365,240146,657.93
TN,F-09,551,362530,657.95
NY,E,1,658,658
WT,J-08,206,135570,658.11
PH,G-03,275,180980,658.11
ZK,F-05,310,204033,658.17
KC,G-05,558,367301,658.25
DA,F-01,312,205377,658.26
DD,B-07,513,337737,658.36
FY,G-07,387,254810,658.42
SL,C-05,28,18437,658.46
SU,F-05,253,166603,658.51
FG,G-04,1071,705305,658.55
AN,G-06,305,200875,658.61
SA,X-98,7764,5114145,658.7
CP,C-05,198,130426,658.72
CG,2,8,5271,658.88
FG,G-10,487,320897,658.93
ZY,D-06,753,496193,658.95
ZS,G-03,40,26359,658.98
SZ,D-01,455,299858,659.03
RM,K-09,109,71838,659.06
HL,E-03,188,123923,659.16
HR,G-10,11,7251,659.18
JP,D-01,428,282139,659.2
JD,D-03,110,72516,659.24
TZ,E-07,590,388966,659.26
LI,D-02,268,176684,659.27
CJ,99,3,1978,659.33
CG,F-04,291,191878,659.37
DY,E-06,258,170140,659.46
JK,F-06,622,410227,659.53
CU,G-09,688,453798,659.59
MY,F07,3,1979,659.67
NS,D-10,357,235502,659.67
PZ,D-04,347,228938,659.76
NA,H-05,415,273806,659.77
PJ,D-07,284,187385,659.81
KI,F-03,141,93044,659.89
RJ,G-07,78,51473,659.91
JG,H-02,394,260030,659.97
CJ,E-02,457,301607,659.97
BT,G-03,1216,802539,659.98
TC,D-15,1,660,660
PT,E-01,1,660,660
TC,E-35,1,660,660
UG,H-06,1,660,660
DL,I-07,1,660,660
DR,L-05,1,660,660
PV,X-99,1,660,660
FA,C-03,830,547823,660.03
NA,N-11,297,196032,660.04
SN,K-10,77,50828,660.1
LU,2,8,5281,660.13
BT,G-06,122,80554,660.28
FY,I-06,119,78574,660.29
OL,D-03,50,33018,660.36
DA,H-03,267,176345,660.47
SL,D-02,56,36989,660.52
FD,B-05,360,237788,660.52
NY,C-05,817,539647,660.52
CC,E-05,556,367305,660.62
LF,E-06,128,84564,660.66
NY,F-07,179,118273,660.74
TE,B-06,209,138095,660.74
CA,C-03,1768,1168256,660.78
UG,D-04,1609,1063293,660.84
CC,G-02,207,136800,660.87
AK,G-06,526,347633,660.9
MO,F-06,105,69398,660.93
JR,X-98,433,286198,660.97
YL,H-08,103,68081,660.98
KW,F-07,128,84606,660.98
DY,H-05,242,159958,660.98
JW,J-01,2,1322,661
RL,G-07,383,253166,661.01
DL,F-03,507,335144,661.03
LH,C-10,1531,1012072,661.05
YS,2,15,9917,661.13
LY,F-04,33,21820,661.21
NA,K-09,284,187784,661.21
TR,A-05,64,42320,661.25
HR,C-06,34,22483,661.26
LI,A-01,96,63481,661.26
YK,G-08,33,21823,661.3
XU,C-03,44,29100,661.36
JD,D-04,558,369058,661.39
BK,E-05,105,69451,661.44
PT,G-07,484,320231,661.63
HT,L-08,771,510166,661.69
RZ,D-05,177,117123,661.71
DN,H-05,720,476445,661.73
TL,F-06,81,53605,661.79
LG,B-03,704,465951,661.86
CQ,C-05,97,64214,662
MH,C-03,621,411117,662.02
LY,E-05,84,55616,662.1
MS,E-05,621,411175,662.12
KG,C-04,1249,827200,662.29
YS,X-98,223,147693,662.3
YJ,F-03,619,409963,662.3
JU,E-09,217,143729,662.35
FD,B-02,1123,743836,662.37
WT,L-09,299,198052,662.38
HZ,X-98,1134,751136,662.38
YS,H-06,717,475016,662.5
DA,D-02,449,297486,662.55
AN,E-05,891,590377,662.6
HI,J-03,308,204096,662.65
SP,E-03,628,416150,662.66
DU,A-02,309,204765,662.67
SC,G-06,1941,1286292,662.7
MO,F-04,52,34467,662.83
PE,F-03,502,332770,662.89
WT,E-06,149,98777,662.93
NL,F-03,247,163747,662.94
JR,G-06,112,74253,662.97
LZ,99,1,663,663
YS,C-06,1,663,663
CU,F-09,361,239343,663
GH,D-03,646,428379,663.13
LI,B-03,147,97481,663.14
DA,A-02,5,3316,663.2
MS,H-04,367,243396,663.2
TZ,F-07,207,137289,663.23
HZ,C-03,18,11939,663.28
MS,J-06,312,206960,663.33
MJ,A-01,839,556596,663.4
PZ,G-03,95,63028,663.45
JL,F-04,31,20572,663.61
DY,G-04,147,97579,663.8
HN,B-02,971,644558,663.81
XH,D-06,34,22573,663.91
PH,E-01,423,280940,664.16
NS,B-06,244,162061,664.18
DR,F-05,281,186706,664.43
HL,H-06,1179,783520,664.56
SZ,E-03,350,232619,664.63
LQ,F-06,223,148220,664.66
NS,F-10,194,128949,664.69
JP,B-05,409,271881,664.75
WZ,J-08,83,55177,664.78
JB,E-04,51,33910,664.9
FD,X-98,409,271963,664.95
HD,E-07,1,665,665
KZ,C-07,94,62513,665.03
TT,E-09,61,40569,665.07
TZ,E-05,423,281324,665.07
ZT,B-04,168,111738,665.11
HG,C-01,244,162289,665.12
PZ,F-03,426,283373,665.19
PE,F-04,236,156991,665.22
CU,F-07,414,275435,665.3
NC,G-11,13,8649,665.31
CC,J-02,399,265468,665.33
YN,B-09,601,399935,665.45
TZ,F-06,211,140413,665.46
CX,C-04,306,203645,665.51
WT,K-07,547,364048,665.54
JU,D-09,72,47928,665.67
WT,F-09,426,283579,665.68
CL,E-07,575,382806,665.75
FG,G-09,678,451385,665.76
SC,C-09,997,663809,665.81
CZ,X-98,109,72581,665.88
JK,H-07,610,406186,665.88
SC,2,2,1332,666
HM,H-03,86,57291,666.17
ML,F-04,249,165910,666.31
CM,F-07,350,233221,666.35
PC,H-07,12,7998,666.5
NJ,I-06,239,159296,666.51
YM,C-01,536,357275,666.56
YK,H-08,15,9999,666.6
YP,F-06,47,31330,666.6
GH,E-03,115,76659,666.6
PZ,E-04,132,87996,666.64
MQ,H-03,1181,787323,666.66
SM,E-03,167,111345,666.74
AH,B-07,4,2667,666.75
JP,C-02,254,169356,666.76
FW,H-01,988,658761,666.76
KW,K-06,448,298718,666.78
PS,E-09,5,3334,666.8
DJ,B-07,1314,876181,666.8
KW,L-06,190,126696,666.82
RL,H-08,763,508784,666.82
MQ,E-02,649,432811,666.89
AN,F-03,424,282780,666.93
DN,D-07,754,502913,666.99
LC,D-04,412,274831,667.07
CQ,D-05,139,92725,667.09
PL,E-05,54,36044,667.48
TN,I-08,86,57406,667.51
JS,G-02,207,138187,667.57
ZS,C-04,125,83463,667.7
HS,H-11,501,334559,667.78
PK,D-09,458,305883,667.87
JW,C-04,790,527620,667.87
UG,H-04,797,532295,667.87
DR,X-99,3,2004,668
WG,Others,268,179039,668.06
NZ,D-10,103,68815,668.11
DX,D-08,1364,911306,668.11
LG,X-98,119,79510,668.15
HR,H-08,24,16036,668.17
PN,G-06,29,19378,668.21
JL,H-04,171,114265,668.22
RS,E-04,545,364193,668.24
GH,E-07,690,461090,668.25
AP,C-06,429,286719,668.34
WG,D-05,1727,1154230,668.34
PV,B-02,392,262009,668.39
HD,F-04,17,11363,668.41
WF,D-08,97,64836,668.41
AP,F-05,614,410412,668.42
PE,F-02,279,186502,668.47
SP,F-06,885,591653,668.53
DS,D-08,12,8023,668.58
AE,Others,23,15379,668.65
CL,G-06,611,408592,668.73
MJ,B-02,783,523643,668.77
XH,X-98,12,8027,668.92
NJ,I-07,367,245504,668.95
ZY,F-05,719,480974,668.95
CL,H-04,492,329186,669.08
PJ,G-07,207,138519,669.17
SN,J-11,404,270343,669.17
JU,E-03,93,62242,669.27
RM,J-06,160,107083,669.27
PJ,D-13,44,29450,669.32
SZ,E-02,716,479318,669.44
JL,K-07,224,149958,669.46
RL,F-05,190,127204,669.49
NZ,F-09,356,238364,669.56
IL,C-05,344,230331,669.57
AP,H-04,265,177438,669.58
CL,H-06,721,482828,669.66
PJ,D-10,357,239108,669.77
MQ,G-04,883,591525,669.9
LF,E-04,2532,1696256,669.93
JW,H-03,1296,868265,669.96
YM,99,1,670,670
CC,C-06,1,670,670
DN,J-03,802,537446,670.13
DN,I-04,222,148776,670.16
ZY,X-98,272,182297,670.21
JR,E-01,63,42225,670.24
KW,E-01,12,8043,670.25
PK,F-06,123,82444,670.28
JU,G-11,185,124009,670.32
YJ,I-03,125,83808,670.46
NZ,C-07,500,335231,670.46
MO,G-06,61,40899,670.48
PW,I-03,2,1341,670.5
CG,D-06,58,38892,670.55
JD,E-04,194,130109,670.66
TC,E-32,14,9390,670.71
DY,G-05,1027,688833,670.72
RL,F-07,170,114040,670.82
GH,F-04,306,205283,670.86
CJ,C-02,373,250243,670.89
CL,D-04,769,516007,671.01
HU,G-02,59,39597,671.14
DC,D-08,412,276509,671.14
DO,L-04,309,207410,671.23
XS,B-03,280,187959,671.28
CK,F-10,367,246387,671.35
AN,D-04,598,401506,671.41
PS,H-08,33,22157,671.42
CU,G-06,703,472122,671.58
DL,J-03,228,153145,671.69
SH,B-01,358,240484,671.74
PU,D-02,12,8061,671.75
DM,F-05,503,337927,671.82
DZ,F-04,87,58451,671.85
JC,C-03,508,341302,671.85
SC,F-07,814,546967,671.95
FW,I-03,432,290294,671.98
HI,E-07,9,6048,672
JI,G-04,576,387094,672.04
WJ,D-04,123,82674,672.15
CL,D-06,204,137123,672.17
YS,G-04,234,157290,672.18
NY,E-06,1223,822126,672.22
WT,M-09,211,141843,672.24
MG,D-06,300,201709,672.36
MT,E-05,260,174819,672.38
YJ,H-07,255,171469,672.43
UC,J-06,478,321423,672.43
YK,F-08,23,15467,672.48
SZ,F-03,751,505058,672.51
MG,C-06,620,416994,672.57
DK,D-06,1190,800536,672.72
NC,I-05,650,437292,672.76
TB,X-98,13,8746,672.77
DM,H-05,746,501901,672.79
JR,I-05,634,426556,672.8
YJ,F-07,360,242245,672.9
JB,3,3,2019,673
DX,E-07,23,15480,673.04
ET,F-06,429,288733,673.04
IC,F-04,47,31634,673.06
DS,E-03,114,76730,673.07
JK,D-09,358,240979,673.13
TZ,Others,521,350703,673.13
MH,F-04,289,194554,673.2
YK,H-03,250,168330,673.32
JU,E-07,80,53866,673.33
CF,B-07,840,565630,673.37
LD,H-09,683,459974,673.46
CC,H-05,407,274132,673.54
NL,D-03,827,557027,673.55
OL,C-07,9,6062,673.56
MA,F-08,386,259998,673.57
YT,2,30,20208,673.6
JB,D-04,231,155617,673.67
PC,X-98,155,104428,673.73
FG,X-98,86,57944,673.77
QX,D-06,73,49199,673.96
TT,E-14,1,674,674
TK,F-07,1,674,674
HZ,C-06,460,310077,674.08
QD,C-03,312,210327,674.13
NJ,F-06,298,200900,674.16
PC,D-02,805,542744,674.22
ST,E-06,557,375546,674.23
PS,F-09,8,5394,674.25
HT,E-08,955,643959,674.3
YD,H-07,893,602302,674.47
RM,J-09,160,107937,674.61
NS,E-10,237,159887,674.63
XL,F-04,295,199037,674.7
LH,C-08,616,415644,674.75
JW,G-03,622,419763,674.86
TK,X-98,251,169393,674.87
MG,F-02,31,20922,674.9
AE,X-98,39,26322,674.92
TW,H-09,16,10799,674.94
LY,C-07,29,19575,675
HM,H-05,151,101926,675.01
HS,G-11,1043,704056,675.03
JE,C-03,141,95187,675.09
PT,C-07,262,176874,675.09
TS,D-03,9,6077,675.22
YW,B-02,629,424713,675.22
CR,D-09,691,466594,675.24
LC,2,13,8779,675.31
NA,M-11,375,253247,675.33
ET,G-07,359,242455,675.36
SZ,D-07,583,393742,675.37
PS,E-08,26,17560,675.38
TS,X-98,218,147241,675.42
XL,D-04,9,6079,675.44
DC,B-04,201,135766,675.45
IL,B-05,103,69573,675.47
PE,C-01,984,664660,675.47
SK,J-05,46,31073,675.5
DK,F-05,918,620128,675.52
PN,E-09,284,191856,675.55
BL,E-5,1423,961338,675.57
LD,E-07,66,44591,675.62
TR,B-02,579,391265,675.76
CL,E-06,864,583868,675.77
ZY,E-06,631,426417,675.78
TL,E-09,44,29742,675.95
AE,D-05,666,450182,675.95
NJ,X-98,52,35151,675.98
KW,E-07,1,676,676
TC,E-27,2,1352,676
SW,F-03,66,44618,676.03
CF,B-06,1033,698353,676.04
CC,K-07,1127,761925,676.06
PE,G-04,373,252187,676.1
JU,G-07,86,58151,676.17
GS,I-01,16,10819,676.19
CQ,D-07,382,258321,676.23
HK,E-06,140,94675,676.25
TT,E-05,83,56132,676.29
YK,F-06,739,499819,676.35
CL,D-03,583,394329,676.38
CM,D-05,364,246212,676.41
TN,F-03,18,12177,676.5
CM,E-06,584,395107,676.55
FH,E-09,148,100146,676.66
ZU,F-03,218,147526,676.72
MG,F-07,239,161758,676.81
AN,X-98,85,57539,676.93
SZ,D-06,497,336448,676.96
LI,X-98,114,77176,676.98
WJ,F-06,44,29788,677
PJ,F-07,532,360174,677.02
DD,C-08,282,190923,677.03
JE,D-05,187,126611,677.06
MS,F-07,532,360219,677.1
HG,D-03,662,448260,677.13
IC,C-02,71,48077,677.14
HF,E-05,783,530234,677.18
LD,I-05,265,179470,677.25
MG,F-06,825,558735,677.25
SM,E-07,29,19642,677.31
PT,D-06,302,204579,677.41
JK,J-06,2,1355,677.5
HS,G-09,653,442500,677.64
XH,E-05,60,40665,677.75
DM,E-06,190,128782,677.8
MT,H-06,490,332140,677.84
LT,C-03,223,151182,677.95
DK,F-09,46,31188,678
TN,E-11,266,180350,678.01
LG,B-05,791,536325,678.03
GH,H-03,822,557363,678.06
JA,E-04,73,49500,678.08
ZS,H-04,307,208176,678.1
WZ,I-07,219,148513,678.14
GH,B-03,629,426548,678.14
LD,I-03,564,382502,678.2
TR,D-01,161,109197,678.24
PM,G-03,162,109875,678.24
CJ,B-04,1128,765075,678.26
ZY,E-08,469,318113,678.28
CX,F-06,350,237414,678.33
DO,J-05,153,103790,678.37
YN,B-08,421,285609,678.41
DC,C-07,934,633658,678.43
TR,C-02,768,521084,678.49
HD,D-05,646,438316,678.51
SP,I-06,645,437709,678.62
MJ,J-01,3,2036,678.67
NQ,H-06,25,16967,678.68
CG,H-03,55,37331,678.75
DJ,X-98,22,14933,678.77
EH,C-08,40,27151,678.78
JB,H-04,205,139151,678.79
NL,F-07,1011,686355,678.89
YN,B-06,265,179910,678.91
WT,E-04,339,230151,678.91
IL,F-04,12,8147,678.92
LS,X-98,31,21047,678.94
JL,H-06,2,1358,679
ST,E-07,348,236302,679.03
TT,D-04,59,40067,679.1
CC,H-02,365,247873,679.1
TR,A-01,28,19017,679.18
TL,E-04,185,125662,679.25
XW,K-02,77,52304,679.27
JK,D-08,822,558474,679.41
SD,X-98,817,555094,679.43
SA,I-11,201,136608,679.64
YP,F-04,143,97193,679.67
CJ,D-04,515,350034,679.68
PS,D-12,39,26509,679.72
KS,E-05,54,36707,679.76
KT,C-12,9,6118,679.78
MA,E-06,180,122361,679.78
HM,H-07,129,87698,679.83
NY,C-04,404,274666,679.87
CA,E2,36,24476,679.89
SW,I-06,163,110822,679.89
LW,H-01,89,60519,679.99
CX,D-03,140,95244,680.31
GS,K-06,290,197294,680.32
LG,C-03,475,323213,680.45
HJ,H-05,381,259259,680.47
JC,E-02,151,102788,680.72
FH,C-03,578,393500,680.8
PJ,C-13,180,122559,680.88
LW,X-98,803,546816,680.97
KC,J-10,219,149135,680.98
WQ,D-05,574,390923,681.05
SZ,X-98,461,314010,681.15
JR,J-07,416,283361,681.16
PV,B-01,1656,1128040,681.18
SK,G-05,13,8856,681.23
TW,D-05,479,326330,681.27
UC,G-05,118,80391,681.28
NZ,E-07,489,333162,681.31
DC,B-09,2225,1516151,681.42
LD,H-05,216,147197,681.47
UL,X-99,2,1363,681.5
CL,F-03,739,503650,681.53
AK,H-05,553,376909,681.57
LS,H-03,58,39532,681.59
MA,E-04,596,406234,681.6
DC,D-01,46,31354,681.61
JK,D-05,390,265842,681.65
